Time; HostId; CPU; Memory; Storage; N_VM
28; 10001; 0.0110199; 43.75; 8.75; 7
28; 10002; 0.0169295; 14.1; 4.58333; 3
28; 10003; 0.039402; 53.475; 12.9167; 9
28; 10004; 0.00271635; 1.6; 2.08333; 1
28; 10005; 0.0224725; 8.125; 2.08333; 1
28; 10006; 0.0128701; 16.25; 4.16667; 2
28; 10007; 0.0353054; 24.375; 6.25; 3
28; 10008; 0.0128701; 16.25; 4.16667; 2
28; 10009; 0; 0; 0; 0
30; 10001; 0.0101351; 43.75; 8.75; 7
30; 10002; 0.0136321; 14.1; 4.58333; 3
30; 10003; 0.0136321; 53.475; 12.9167; 9
30; 10004; 0.00059051; 1.6; 2.08333; 1
30; 10005; 0; 8.125; 2.08333; 1
30; 10006; 0.0244332; 16.25; 4.16667; 2
30; 10007; 0.0243657; 24.375; 6.25; 3
30; 10008; 0.0244332; 16.25; 4.16667; 2
30; 10009; 0; 0; 0; 0
32; 10001; 0.0101351; 43.75; 8.75; 7
32; 10002; 0.0136321; 14.1; 4.58333; 3
32; 10003; 0.0136321; 53.475; 12.9167; 9
32; 10004; 0.00059051; 1.6; 2.08333; 1
32; 10005; 0; 8.125; 2.08333; 1
32; 10006; 0.0244332; 16.25; 4.16667; 2
32; 10007; 0.0243657; 24.375; 6.25; 3
32; 10008; 0.0244332; 16.25; 4.16667; 2
32; 10009; 0; 0; 0; 0
34; 10001; 0.0101351; 50; 10; 8
34; 10002; 0.0136321; 20.35; 5.83333; 4
34; 10003; 0.0136321; 59.725; 14.1667; 10
34; 10004; 0.00059051; 1.6; 2.08333; 1
34; 10005; 0; 8.125; 2.08333; 1
34; 10006; 0.0244332; 16.25; 4.16667; 2
34; 10007; 0.0243657; 24.375; 6.25; 3
34; 10008; 0.0244332; 16.25; 4.16667; 2
34; 10009; 0; 0; 0; 0
36; 10001; 0.0101351; 50; 10; 8
36; 10002; 0.0136321; 20.35; 5.83333; 4
36; 10003; 0.0136321; 59.725; 14.1667; 10
36; 10004; 0.00059051; 1.6; 2.08333; 1
36; 10005; 0; 8.125; 2.08333; 1
36; 10006; 0.0244332; 16.25; 4.16667; 2
36; 10007; 0.0243657; 24.375; 6.25; 3
36; 10008; 0.0244332; 16.25; 4.16667; 2
36; 10009; 0; 0; 0; 0
38; 10001; 0.0101351; 50; 10; 8
38; 10002; 0.0136321; 20.35; 5.83333; 4
38; 10003; 0.0136321; 59.725; 14.1667; 10
38; 10004; 0.00059051; 1.6; 2.08333; 1
38; 10005; 0; 8.125; 2.08333; 1
38; 10006; 0.0244332; 16.25; 4.16667; 2
38; 10007; 0.0243657; 24.375; 6.25; 3
38; 10008; 0.0244332; 16.25; 4.16667; 2
38; 10009; 0; 0; 0; 0
40; 10001; 0.00912967; 50; 10; 8
40; 10002; 0.0146733; 20.35; 5.83333; 4
40; 10003; 0.0146733; 59.725; 14.1667; 10
